title_length,title_word_count,title_has_numbers,title_has_exclamation,title_has_question,title_has_caps,title_viral_words,description_length,description_word_count,has_description,tags_count,has_tags,language_encoded,video_age_days,publish_hour,publish_day_of_week
64,11,1,0,0,0,0,840,89,1,1,0,4,1,0,1
49,5,1,0,0,0,0,1264,70,1,12,1,4,3,0,2
76,14,1,0,0,1,0,1183,143,1,19,1,38,1,0,0
67,12,1,0,0,1,0,222,16,1,1,0,38,4,0,2
34,7,1,0,0,1,0,1012,104,1,13,1,18,3,0,3
92,18,1,0,0,0,0,3324,560,1,23,1,4,2,0,4
76,14,1,0,0,1,0,538,62,1,18,1,18,3,0,2
40,6,0,0,0,0,0,589,36,1,42,1,18,4,0,3
31,5,1,0,0,0,0,237,21,1,11,1,18,0,0,6
41,6,0,0,0,1,0,222,13,1,13,1,24,4,0,1
90,11,0,1,0,1,0,300,28,1,1,0,18,2,0,3
16,4,1,0,0,0,0,215,39,1,1,0,18,5,0,6
47,9,1,0,0,1,0,1012,104,1,13,1,18,6,0,1
28,5,1,0,0,1,0,806,92,1,1,0,38,1,0,4
75,11,0,1,0,1,0,542,40,1,12,1,4,3,0,6
60,10,0,0,0,1,0,499,48,1,1,0,18,1,0,3
39,8,1,0,0,1,0,925,79,1,1,0,38,4,0,4
30,6,0,0,0,1,0,62,12,1,1,1,38,5,0,0
44,7,1,0,0,1,0,717,54,1,23,1,18,5,0,6
31,6,1,0,0,1,0,1012,104,1,13,1,18,1,0,4
47,9,1,0,0,1,0,1012,104,1,13,1,18,2,0,3
23,4,0,0,0,1,0,1562,234,1,1,0,4,1,0,4
53,12,1,0,0,1,0,785,104,1,5,1,18,3,0,6
96,14,0,1,0,1,0,321,52,1,1,0,18,5,0,4
69,11,0,1,0,1,0,0,0,0,9,1,18,2,0,0
61,9,0,1,0,1,0,1038,77,1,32,1,18,2,0,0
57,9,1,0,0,0,0,1578,134,1,10,1,21,1,0,3
41,7,1,0,0,1,0,1012,104,1,13,1,18,2,0,3
33,5,0,0,0,1,0,1195,143,1,4,1,24,4,0,2
19,5,1,0,0,0,0,1241,165,1,9,1,4,1,0,1
61,10,0,0,0,0,0,344,40,1,34,1,18,2,0,6
98,17,1,1,0,1,0,1716,263,1,31,1,7,4,0,6
48,9,1,1,0,0,0,310,42,1,1,0,18,4,0,6
39,6,1,0,0,1,0,669,74,1,15,1,18,3,0,5
42,8,1,0,0,1,0,1012,104,1,13,1,18,4,0,0
98,15,1,0,0,1,0,255,52,1,6,1,38,3,0,2
99,15,0,1,0,1,0,89,5,1,1,0,18,0,0,4
37,6,1,0,0,1,0,547,32,1,1,0,4,2,0,6
65,14,1,0,0,1,0,271,28,1,3,1,4,2,0,6
88,15,1,1,0,1,0,673,60,1,34,1,18,1,0,0
47,9,0,0,0,1,0,671,70,1,25,1,18,6,0,4
82,15,1,0,0,1,0,706,81,1,1,0,38,0,0,6
53,9,0,1,0,1,0,225,20,1,9,1,18,8,0,4
68,12,0,1,0,1,0,611,51,1,14,1,18,1,0,5
57,8,1,0,0,0,0,466,71,1,27,1,24,3,0,6
43,7,1,0,0,1,0,1760,220,1,1,0,38,4,0,3
100,16,1,1,0,1,0,598,80,1,4,1,4,0,0,4
81,14,1,0,1,1,0,516,75,1,1,0,18,1,0,6
54,9,1,0,0,0,0,558,63,1,18,1,18,2,0,6
48,7,1,0,0,1,0,376,45,1,1,0,18,2,0,2
91,18,1,1,0,1,0,658,86,1,39,1,18,3,0,6
81,13,1,1,0,1,0,209,26,1,8,1,18,3,0,3
42,7,0,0,0,1,0,814,111,1,13,1,18,3,0,1
68,10,0,0,0,1,0,2668,373,1,8,1,18,3,0,5
57,9,0,0,0,0,0,1252,176,1,9,1,18,3,0,3
98,14,0,1,0,0,0,33,2,1,3,1,18,2,0,3
26,6,1,0,0,1,0,1669,216,1,1,0,38,3,0,3
47,6,1,1,0,0,0,649,102,1,15,1,9,5,0,6
36,7,0,0,0,1,0,220,19,1,16,1,18,2,0,0
94,13,0,0,0,0,0,1191,172,1,12,1,4,1,0,2
27,4,0,0,0,1,0,516,46,1,56,1,24,1,0,6
80,12,1,0,0,1,0,478,69,1,1,0,4,0,0,2
85,14,0,0,0,1,0,907,118,1,20,1,9,0,0,1
81,10,1,0,0,1,0,731,73,1,16,1,18,5,0,2
71,12,0,0,0,1,0,1227,142,1,28,1,18,2,0,5
57,8,0,0,0,0,0,2056,304,1,20,1,4,2,0,4
85,14,0,1,0,1,0,1385,204,1,30,1,38,3,0,1
19,4,1,0,0,1,0,806,92,1,1,0,38,2,0,2
62,10,1,0,0,1,0,2733,359,1,17,1,7,3,0,6
89,13,0,1,1,1,0,61,7,1,18,1,18,1,0,6
83,15,0,0,1,1,0,0,0,0,1,0,18,1,0,5
33,6,0,0,0,0,0,368,24,1,15,1,24,3,0,6
37,6,0,0,0,1,0,219,23,1,29,1,4,3,0,0
73,12,1,0,0,1,0,479,81,1,1,0,38,2,0,5
71,12,1,0,0,1,0,0,0,0,1,0,18,0,0,0
7,1,0,0,0,0,0,1496,194,1,41,1,24,0,0,4
72,13,0,1,1,1,0,282,22,1,30,1,18,0,0,3
59,8,0,0,0,1,0,330,49,1,1,0,18,1,0,5
47,6,0,0,0,0,0,3078,290,1,18,1,18,2,0,3
37,8,0,0,0,1,0,3160,623,1,18,1,8,5,0,2
65,11,1,1,0,1,0,428,60,1,1,0,18,4,0,5
98,14,0,1,0,1,0,0,0,0,1,0,18,4,0,6
49,9,1,0,1,0,0,78,12,1,24,1,38,4,0,2
60,10,1,1,0,0,0,478,30,1,31,1,18,3,0,0
29,6,1,0,0,1,0,1762,220,1,1,0,38,5,0,3
99,17,0,0,0,1,0,177,26,1,1,0,18,2,0,3
89,13,0,0,0,1,0,795,105,1,1,0,38,1,0,6
42,8,1,0,0,1,0,1012,104,1,13,1,18,3,0,1
9,1,0,1,1,1,0,0,0,0,1,0,38,2,0,6
19,4,1,0,0,1,0,806,92,1,1,0,38,3,0,3
25,6,1,0,0,1,0,1575,204,1,1,0,38,4,0,3
48,10,0,0,0,0,0,2845,533,1,13,1,4,3,0,6
81,18,1,0,0,1,0,926,92,1,7,1,38,2,0,5
91,14,1,0,0,1,0,2311,296,1,1,0,18,3,0,6
100,15,1,1,0,1,0,731,102,1,33,1,18,2,0,6
37,6,0,0,0,1,0,604,44,1,48,1,18,2,0,0
69,12,1,1,0,1,0,44,4,1,6,1,18,6,0,3
31,5,0,0,0,1,0,419,69,1,2,1,18,3,0,6
32,6,0,0,0,1,0,2450,357,1,30,1,9,2,0,2
22,3,0,0,0,1,0,337,50,1,1,0,38,4,0,5
37,7,1,0,0,1,0,1012,104,1,13,1,18,1,0,3
33,6,1,0,0,0,0,815,75,1,1,0,38,4,0,3
98,19,1,0,0,1,1,101,18,1,1,0,18,2,0,4
100,14,1,1,0,1,0,804,111,1,35,1,4,4,0,6
32,5,0,0,1,1,0,688,63,1,27,1,24,2,0,0
89,14,0,1,0,1,0,553,64,1,1,0,18,9,0,1
29,5,0,0,0,1,0,0,0,0,1,0,38,4,0,5
45,8,1,1,0,1,0,120,16,1,5,1,18,5,0,1
89,14,1,0,0,1,0,30,3,1,13,1,18,2,0,3
39,7,0,0,0,1,0,225,30,1,3,1,38,0,0,2
39,8,1,0,0,1,0,1012,104,1,13,1,18,1,0,0
43,6,1,0,0,1,0,819,75,1,1,0,38,6,0,4
79,12,0,1,0,1,0,259,31,1,7,1,18,8,0,3
46,8,0,0,0,1,0,504,51,1,27,1,24,1,0,0
63,8,1,1,0,1,0,802,91,1,13,1,18,5,0,5
70,12,1,1,0,0,0,1373,146,1,18,1,18,3,0,4
52,12,1,0,0,1,0,786,71,1,1,0,18,3,0,3
93,18,1,0,0,1,0,2033,251,1,30,1,18,3,0,3
45,8,1,0,0,1,0,557,57,1,33,1,18,1,0,6
87,13,1,1,1,1,0,790,84,1,27,1,18,4,0,0
91,14,0,0,0,0,0,4636,581,1,33,1,18,1,0,0
64,11,0,1,0,1,0,1070,89,1,12,1,18,2,0,1
71,12,0,0,0,1,0,1314,124,1,1,1,18,4,0,0
69,12,1,1,0,1,0,791,100,1,33,1,18,3,0,3
55,10,0,0,0,0,0,4327,733,1,13,1,4,4,0,3
34,5,0,0,0,0,0,162,28,1,1,0,4,6,0,3
65,10,1,0,0,0,0,393,33,1,4,1,38,3,0,1
65,12,1,1,0,1,0,0,0,0,1,0,38,1,0,0
9,1,0,0,0,0,0,281,41,1,4,1,18,4,0,3
79,13,1,1,0,1,0,58,8,1,7,1,4,3,0,6
100,11,1,1,1,1,0,447,23,1,1,0,18,3,0,0
46,13,1,0,0,1,0,242,12,1,16,1,24,3,0,2
49,10,0,0,0,1,0,1371,222,1,1,0,38,4,0,2
53,11,0,0,0,1,0,4167,694,1,1,0,4,4,0,1
88,14,0,0,0,1,0,218,26,1,1,0,18,4,0,1
33,4,0,0,0,1,0,343,25,1,1,0,24,1,0,2
52,9,1,1,0,0,0,985,113,1,1,0,18,2,0,4
87,13,0,1,0,1,0,524,42,1,9,1,18,0,0,1
93,16,0,0,0,1,0,553,64,1,1,0,18,2,0,0
87,14,0,0,0,1,0,1156,115,1,4,1,18,1,0,1
54,8,0,1,0,1,0,169,14,1,1,0,38,4,0,3
28,5,0,0,0,1,0,192,25,1,11,1,24,0,0,5
59,9,0,1,0,1,0,448,48,1,30,1,18,4,0,1
73,13,0,0,0,1,0,2695,318,1,17,1,18,1,0,4
70,13,1,0,0,1,0,393,33,1,3,1,38,4,0,2
57,9,0,0,0,0,0,4604,463,1,9,1,18,3,0,4
31,5,0,0,0,1,0,453,22,1,1,0,4,1,0,4
51,7,1,0,0,1,0,409,42,1,20,1,24,3,0,3
73,12,0,0,0,1,0,2226,277,1,19,1,38,2,0,0
39,7,0,1,0,1,0,1186,171,1,10,1,18,4,0,1
44,6,0,0,0,1,0,214,20,1,7,1,18,3,0,2
87,14,0,1,0,1,0,137,19,1,10,1,4,4,0,3
47,7,1,1,0,1,0,582,63,1,23,1,18,4,0,4
27,6,1,1,0,1,0,4674,589,1,7,1,18,3,0,4
29,6,1,0,0,1,0,1762,220,1,1,0,38,4,0,3
76,13,1,1,1,1,0,213,34,1,6,1,4,2,0,0
35,6,0,0,0,1,0,3374,401,1,4,1,24,4,0,0
50,10,0,0,0,1,0,999,68,1,17,1,18,4,0,5
55,12,0,0,0,0,0,2646,373,1,23,1,25,20,0,6
100,18,1,0,0,1,0,241,16,1,1,0,18,0,0,2
58,12,1,0,0,1,0,498,76,1,18,1,10,2,0,5
82,12,0,1,0,1,0,187,28,1,1,0,38,5,0,0
41,7,1,1,0,0,0,1273,182,1,28,1,9,0,0,6
74,12,0,0,0,1,0,363,35,1,6,1,18,4,0,0
25,4,0,1,0,1,0,0,0,0,1,0,38,5,0,4
37,7,1,0,0,1,0,1012,104,1,13,1,18,6,0,2
61,10,1,0,0,1,0,376,45,1,35,1,18,6,0,0
80,11,1,0,0,1,0,1167,168,1,8,1,4,1,0,1
33,5,0,0,0,1,0,244,17,1,1,0,38,2,0,4
45,8,0,0,0,1,0,989,67,1,17,1,18,5,0,5
36,6,0,0,0,1,0,0,0,0,1,0,4,1,0,2
20,3,0,0,0,1,0,999,68,1,17,1,18,0,0,5
42,8,1,0,0,1,0,379,47,1,7,1,18,1,0,3
53,10,1,0,0,1,0,0,0,0,1,1,18,2,0,2
100,15,0,0,1,1,0,791,104,1,11,1,18,5,0,2
95,18,1,0,0,1,0,711,76,1,11,1,18,2,0,0
73,12,1,0,0,0,0,268,21,1,1,0,18,2,0,1
25,6,0,1,0,1,0,1438,155,1,19,1,18,3,0,0
58,10,0,0,0,0,0,2861,406,1,26,1,4,1,0,1
47,7,1,1,0,0,0,773,111,1,8,1,9,3,0,1
49,8,1,1,0,1,0,889,82,1,1,0,38,8,0,3
60,11,0,0,0,1,0,330,49,1,1,0,18,1,0,3
65,10,1,1,0,1,0,829,97,1,54,1,4,0,0,6
80,13,0,1,0,1,0,591,56,1,16,1,45,3,0,2
81,13,1,0,0,0,0,719,107,1,24,1,7,2,0,4
57,10,1,0,0,1,0,296,45,1,1,0,38,2,0,3
62,13,1,0,0,1,0,23,4,1,15,1,18,7,0,5
76,9,0,0,0,1,0,465,38,1,1,0,18,1,0,6
79,13,0,0,0,0,0,4129,486,1,36,1,18,2,0,0
84,15,0,0,0,1,0,4260,466,1,27,1,18,1,0,6
69,12,1,0,0,0,0,1163,126,1,27,1,18,1,0,1
78,16,1,0,0,1,0,2752,347,1,21,1,18,4,0,2
52,8,0,0,0,0,0,1537,198,1,1,0,4,5,0,3
94,17,1,1,0,1,0,1255,173,1,35,1,7,5,0,5
61,10,0,0,0,1,0,403,36,1,11,1,18,5,0,6
81,14,0,0,0,0,0,2517,292,1,15,1,18,2,0,1
96,18,1,1,0,1,0,1203,183,1,36,1,7,3,0,5
38,6,0,0,0,1,0,215,21,1,12,1,38,3,0,3
75,13,0,0,0,1,1,20,3,1,4,1,38,1,0,2
72,13,1,0,0,1,0,544,38,1,1,0,4,3,0,0
71,12,0,0,0,1,0,180,25,1,5,1,18,1,0,3
100,18,0,1,0,1,0,1369,155,1,18,1,18,4,0,2
50,9,1,1,0,1,0,1678,194,1,10,1,18,1,0,4
38,7,0,0,0,0,0,1477,248,1,11,1,38,2,0,3
90,13,0,0,0,1,0,362,57,1,8,1,38,4,0,5
18,3,0,0,0,1,0,4200,626,1,1,0,4,4,0,4
47,8,1,1,0,0,0,771,117,1,21,1,9,4,0,6
100,16,1,1,0,1,0,327,36,1,9,1,38,5,0,0
81,13,0,0,0,1,1,2546,312,1,13,1,22,1,0,0
63,9,1,0,0,0,0,203,15,1,4,1,38,1,0,2
37,7,0,0,0,0,0,2593,422,1,16,1,4,6,0,1
81,12,0,0,0,0,0,1061,154,1,12,1,4,6,0,2
41,9,0,0,0,0,0,1617,290,1,28,1,9,5,0,2
43,8,1,0,0,1,0,348,39,1,23,1,18,3,0,5
41,7,0,0,0,1,0,4023,469,1,7,1,18,1,0,6
73,12,1,1,0,1,0,824,138,1,19,1,4,3,0,1
98,14,0,1,0,1,0,553,64,1,1,0,18,1,0,4
82,14,1,0,0,1,0,727,88,1,17,1,18,2,0,1
71,12,1,1,0,1,0,44,4,1,6,1,4,1,0,5
100,15,0,1,0,1,0,99,6,1,1,0,18,0,0,2
47,6,1,0,1,1,0,612,73,1,1,1,18,0,0,4
100,16,1,0,0,1,0,125,15,1,3,1,18,3,0,4
99,17,1,0,0,0,0,1977,281,1,23,1,18,2,0,4
81,10,1,1,0,1,0,879,131,1,24,1,7,3,0,5
26,4,0,0,0,1,0,569,45,1,19,1,24,3,0,3
66,12,0,0,0,1,0,3177,388,1,12,1,18,4,0,4
70,14,0,0,0,0,0,1490,221,1,36,1,0,1,0,1
72,12,1,0,0,1,0,0,0,0,1,0,18,0,0,5
42,8,1,0,0,1,0,1012,104,1,13,1,18,2,0,4
94,15,0,0,0,1,0,1241,122,1,4,1,18,1,0,1
88,16,1,1,0,1,0,1086,150,1,18,1,18,3,0,2
36,8,1,0,0,1,0,319,38,1,19,1,38,2,0,3
40,7,0,0,0,1,0,1040,106,1,4,1,24,1,0,6
97,16,1,1,0,1,0,1118,106,1,20,1,18,5,0,4
38,7,1,0,0,1,0,1012,104,1,13,1,18,2,0,5
47,9,0,0,0,0,0,687,66,1,1,0,4,3,0,5
86,15,0,1,0,1,0,405,40,1,3,1,18,1,0,2
62,11,0,1,0,1,0,244,31,1,6,1,38,5,0,4
88,13,1,1,0,0,0,208,15,1,13,1,4,3,0,5
37,6,0,1,0,0,0,623,96,1,6,1,18,3,0,3
70,9,0,0,0,1,0,418,37,1,13,1,18,0,0,0
51,7,1,0,0,1,0,449,69,1,26,1,24,1,0,6
36,7,0,0,0,0,0,809,87,1,1,1,18,4,0,1
63,13,1,0,0,1,0,252,38,1,31,1,10,2,0,6
13,3,1,0,0,1,0,351,26,1,26,1,38,2,0,0
36,7,0,0,0,1,0,1946,389,1,19,1,24,4,0,6
66,10,0,1,0,1,0,310,23,1,16,1,18,1,0,4
24,3,0,0,1,0,0,219,22,1,1,1,18,2,0,3
73,12,0,0,0,1,0,161,17,1,7,1,18,4,0,0
55,11,0,0,0,0,0,3407,685,1,12,1,9,3,0,5
34,7,0,0,0,0,0,488,40,1,30,1,4,2,0,5
63,12,0,0,0,0,0,933,76,1,4,1,38,1,0,4
75,13,0,0,0,1,0,20,3,1,4,1,18,1,0,6
37,6,1,0,0,0,0,85,12,1,1,0,38,3,0,1
100,19,1,0,0,1,1,118,21,1,1,0,18,1,0,4
83,13,0,1,0,1,0,2435,356,1,15,1,4,2,0,5
38,5,0,0,0,0,0,2497,294,1,22,1,18,5,0,3
76,13,0,1,0,0,0,276,42,1,1,0,18,3,0,2
82,13,0,1,0,1,0,363,35,1,6,1,18,3,0,4
72,13,0,1,0,1,0,1096,121,1,23,1,18,5,0,5
41,8,0,0,0,1,0,2490,275,1,17,1,18,1,0,2
82,14,0,0,0,1,0,198,17,1,10,1,18,5,0,3
47,7,0,1,0,1,0,0,0,0,6,1,18,4,0,1
57,11,1,1,0,1,0,553,70,1,7,1,18,1,0,4
58,10,0,1,0,1,0,716,73,1,41,1,18,1,0,1
61,13,1,1,0,1,0,939,93,1,53,1,18,1,0,5
89,13,0,1,0,1,0,1026,82,1,3,1,18,1,0,6
40,8,1,0,0,1,0,1012,104,1,13,1,18,3,0,4
91,15,1,0,0,1,0,1717,234,1,21,1,38,4,0,0
78,12,0,0,0,1,0,1147,110,1,1,1,18,1,0,2
90,16,1,1,0,1,0,1314,187,1,29,1,7,4,0,6
95,13,0,1,1,1,0,0,0,0,1,0,38,2,0,3
94,15,0,0,0,1,0,2913,320,1,30,1,18,1,0,2
62,11,0,1,0,1,0,1317,141,1,16,1,18,3,0,6
97,19,0,1,1,1,0,451,42,1,29,1,38,1,0,1
59,11,1,0,0,1,0,641,42,1,2,1,18,3,0,5
37,5,0,1,0,1,0,520,27,1,26,1,18,3,0,5
94,16,1,0,1,1,0,789,90,1,15,1,18,2,0,3
79,15,1,0,0,1,0,1177,112,1,8,1,18,4,0,3
70,11,0,0,0,0,0,2356,280,1,18,1,18,2,0,4
54,7,0,0,0,1,0,469,74,1,1,0,18,4,0,4
52,10,0,1,0,1,0,347,31,1,39,1,18,5,0,2
49,7,0,1,0,1,0,451,37,1,3,1,18,0,0,2
49,9,0,0,0,1,0,2132,377,1,24,1,24,2,0,4
31,4,1,0,0,1,0,474,46,1,2,1,24,1,0,2
64,11,1,0,0,1,0,121,18,1,3,1,18,3,0,0
33,6,1,0,0,1,0,1012,104,1,13,1,18,1,0,0
80,15,1,1,0,1,0,1197,175,1,17,1,7,3,0,6
42,9,1,0,0,1,0,1545,198,1,1,0,38,4,0,6
28,5,0,1,0,1,0,0,0,0,1,0,38,3,0,4
78,13,1,0,0,1,0,555,51,1,8,1,18,2,0,3
69,11,0,0,0,1,0,2325,472,1,1,0,24,2,0,4
29,5,0,0,0,1,0,345,43,1,15,1,18,3,0,4
67,10,0,1,0,1,0,404,41,1,17,1,18,2,0,1
90,16,1,1,0,1,0,1314,187,1,29,1,7,2,0,6
68,11,0,0,0,0,0,2278,217,1,11,1,18,1,0,2
58,9,1,0,0,1,0,0,0,0,1,0,18,2,0,6
89,16,0,0,0,1,0,153,19,1,3,1,18,2,0,3
21,4,0,0,0,0,0,185,27,1,2,1,18,5,0,4
21,4,0,1,0,0,0,608,61,1,21,1,18,2,0,6
57,8,1,0,0,1,0,536,53,1,11,1,18,2,0,3
83,16,0,1,0,1,0,336,20,1,27,1,4,0,0,0
65,9,0,0,0,0,0,947,108,1,32,1,18,1,0,5
86,15,0,0,1,1,0,292,24,1,21,1,18,1,0,2
87,16,1,1,0,1,0,946,136,1,20,1,18,1,0,5
90,12,0,0,0,1,0,677,66,1,1,0,4,1,0,1
37,8,1,0,0,0,0,1105,125,1,1,0,4,4,0,5
68,13,0,0,0,1,0,718,94,1,1,0,18,2,0,4
46,7,1,0,0,1,0,376,45,1,35,1,18,1,0,0
41,8,1,0,0,1,0,509,53,1,35,1,18,1,0,6
77,9,0,0,0,1,0,876,93,1,27,1,38,4,0,2
98,12,0,1,0,1,0,191,32,1,3,1,18,3,0,1
46,6,1,0,0,1,0,418,45,1,43,1,24,2,0,5
32,5,1,0,0,0,0,574,61,1,1,0,4,1,0,5
57,8,0,1,1,1,0,0,0,0,1,0,18,2,0,5
71,10,0,0,0,1,0,337,19,1,25,1,18,2,0,2
38,7,0,0,0,1,0,551,40,1,12,1,18,1,0,1
39,7,1,0,0,1,0,1137,104,1,1,0,18,2,0,5
72,12,1,1,0,1,0,656,87,1,9,1,18,4,0,3
68,11,1,1,0,1,0,258,33,1,29,1,18,3,0,0
50,10,1,0,0,1,0,246,43,1,13,1,7,1,0,1
58,11,1,0,0,1,0,211,33,1,13,1,9,1,0,3
72,11,0,1,0,1,0,531,43,1,1,0,38,3,0,4
72,13,0,0,0,0,0,1002,122,1,36,1,18,1,0,5
34,5,0,0,0,1,0,710,65,1,49,1,4,1,0,2
63,10,1,0,0,0,0,2899,396,1,20,1,18,2,0,4
42,7,1,1,0,1,1,169,14,1,1,0,38,7,0,4
85,12,0,1,0,1,0,1027,114,1,29,1,18,1,0,5
71,10,0,1,0,1,0,230,20,1,31,1,4,2,0,5
60,9,0,0,0,1,0,1547,168,1,1,0,18,4,0,4
71,12,0,0,0,1,0,379,37,1,1,0,18,3,0,6
93,15,0,0,0,0,0,4185,539,1,33,1,18,2,0,1
23,3,0,0,0,0,0,294,50,1,13,1,38,3,0,0
52,9,0,0,0,1,0,778,78,1,27,1,18,2,0,4
72,14,1,1,0,1,0,1060,129,1,42,1,18,4,0,4
68,11,1,0,0,1,0,1367,180,1,7,1,18,2,0,1
39,6,0,0,0,0,0,686,58,1,29,1,4,1,0,1
49,8,0,0,0,1,0,324,42,1,11,1,7,1,0,2
97,15,0,1,1,1,0,553,54,1,51,1,18,3,0,4
83,13,0,0,0,0,0,4573,585,1,34,1,18,2,0,4
98,14,0,0,0,1,0,2178,315,1,1,0,18,1,0,0
78,15,1,1,1,1,0,403,43,1,63,1,45,0,0,2
72,12,0,0,0,0,0,1568,218,1,29,1,22,1,0,0
39,7,0,0,0,1,0,267,29,1,26,1,18,3,0,2
100,15,0,1,0,1,0,112,6,1,1,0,18,0,0,3
38,6,0,0,0,1,1,3156,454,1,4,1,24,5,0,4
49,8,0,0,0,0,0,1009,126,1,24,1,18,5,0,4
57,10,1,0,0,1,1,509,53,1,33,1,18,3,0,2
38,7,1,0,0,1,0,1012,104,1,13,1,18,4,0,0
66,11,1,1,0,0,0,182,24,1,9,1,24,4,0,2
24,6,1,0,0,1,0,1666,216,1,1,0,38,3,0,3
96,18,0,1,0,1,0,942,132,1,27,1,18,1,0,3
75,13,0,0,0,1,0,0,0,0,1,0,4,1,0,3
73,10,1,0,0,0,0,393,33,1,4,1,38,3,0,2
79,15,1,0,0,1,0,318,42,1,26,1,18,2,0,3
82,15,0,1,0,1,0,0,0,0,1,0,38,2,0,4
